Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 4,Esn 12,Device Type 6,2021-12-16T15:14:31.948Z,2022-06-19T12:04:22.627Z,2021-12-16T15:14:43.440Z,2022-06-19T12:02:51.116Z,2022-06-19T09:01:35.560Z,2022-06-19T12:04:22.627Z,2022-06-19T09:03:58.220Z,2022-06-19T12:02:51.116Z,
User 2,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,2022-06-14T08:00:55.160Z,2022-06-15T15:14:06.286Z,2022-06-14T08:01:06.561Z,2022-06-15T15:09:33.023Z,
User 3,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,
User 0,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,
User 1,Esn 0,Device Type 5,2021-10-31T07:55:44.140Z,2022-09-30T14:54:39.201Z,2021-10-31T07:57:20.172Z,2022-09-30T14:53:01.030Z,,,,,
User 1,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-26T02:13:00.579Z,2022-04-28T16:08:56.782Z,2022-04-26T02:13:00.579Z,2022-04-28T16:08:56.782Z,
User 4,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,
User 2,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,
User 3,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,,,,,
User 0,Esn 2,Device Type 1,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-28T16:08:56.782Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,2022-04-25T14:39:12.886Z,
